store_id,store_name,region,date,transactions,revenue,avg_basket_value,discount_pct,footfall,stockout_flag
ST-11,Willow Creek,South,17-Mar-26,94,"$5,820.11",65.3,0.02765023655,705,1
ST-07,SUNSET BOULEVARD,South,"April 18, 2026",36,3837.67,114.76,1.507587829,505,N
ST-12,Bayfront Commons,SOUTH,03/24/2026,52,"$5,648.15",117.49,na,573,0
ST-18,Ashbrook Plaza,West,"March 23, 2026",62,"INR 2,619",39.92,33.04850054,428,no
ST-04,Silverline Mall,North,"March 20, 2026",84,2739.81,32.37,32.59101394,766,0
ST-08,Palm Terrace,south,20260516,73,2767.15,41.57,3.785756492,563,Y
ST-08,Palm Terrace,south,7-Mar-26,54,2863.6,48.06,30.76813126,449,no
ST-11,WILLOW CREEK,South,20260518,71,14158.45,183.9,38.09965516,586,N
ST-17,SUMMIT CORNER,West,26-Mar-26,50,4993.88,103.8,6.3691129,933,N
ST-13,Highland Court,West,"April 28, 2026",47,4733.31,98.99,29.51359284,481,N
ST-17,Summit Corner,west,21/03/2026,41,3065.13,71.09,33.89054482,446,0
ST-08,PALM TERRACE,SOUTH,15/05/2026,70,4570.67,65.34,4.729669216,719,0
ST-11,Willow Creek,South,16/03/2026,40,"$5,189.33",126.38,24.98208922,540,no
ST-03,Maple Junction,North,"May 21, 2026",81,7516.22,93,32.46386978,472,yes
ST-10,Magnolia Square,South,"April 4, 2026",57,4808.37,87.76,9.995167182,347,1
ST-17,Summit Corner,west,2026-03-07,66,6632.67,96.13,32.0898601,469,0
ST-09,Coral Bay Outlet,South,"May 27, 2026",55,14698.87,276.69,3.003047821,902,N
ST-01,Riverside Plaza,North,24-Mar-26,63,,99.74,4.739143089,840,0
ST-12,Bayfront Commons,South,"March 11, 2026",59,7706.25,124.84,1.032194423,836,0
ST-01,Riverside Plaza,North,"April 2, 2026",66,6798.7,105.91,0.429105799,496,no
ST-01,Riverside Plaza,north,20260510,56,3844.06,63.05,15.77926072,586,yes
ST-02,Harbor Point,North,15-Apr-26,60,2725.74,44.41,13.81533573,690,FALSE
ST-18,Ashbrook Plaza,West,20260526,64,2742.06,39.59,26.7865392,660,N
ST-14,Golden Valley,West,2026-05-07,56,"INR 8,140",144.32,20.6445474,606,yes
ST-15,Pinecrest Mall,West,03/02/2026,64,2595.1,44.42,23.22216199,392,yes
ST-12,Bayfront Commons,South,05/02/2026,59,5173.03,81.42,14.51708671,482,0
ST-02,Harbor Point,NORTH,20260310,80,5491.41,65.43,10.96537575,679,N
ST-12,Bayfront Commons,South,2026-04-13,78,13706.2,171.06,39.83113273,744,0
ST-05,Eastgate Center,North,20260324,68,2620.54,38.32,13.92784873,355,N
ST-15,Pinecrest Mall,West,20260510,49,2284.72,43.11,33.30400151,743,N
ST-05,Eastgate Center,North,15-Apr-26,56,3298.25,62.5,21.70752178,448,Y
ST-06,Cedar Crossing,north,20260524,36,6702.05,182.58,na,563,Y
ST-09,Coral Bay Outlet,South,"March 26, 2026",81,"INR 4,601",53.79,na,709,N
ST-15,Pinecrest Mall,West,20260409,72,"$2,708.34",38.72,34.97082959,615,yes
ST-01,Riverside Plaza,North,"April 29, 2026",54,6629.63,111.72,13.69614707,661,N
ST-03,Maple Junction,North,03/24/2026,69,"$5,661.22",88.86,18.19700909,677,0
ST-01,Riverside Plaza,North,20260509,42,"INR 6,025",133.52,na,487,yes
ST-10,Magnolia Square,South,3-Apr-26,84,7463.25,80.66,33.30727464,615,no
ST-18,Ashbrook Plaza,west,13-Apr-26,76,2895.63,40.36,11.00589442,428,TRUE
ST-17,Summit Corner,West,09/03/2026,67,"$7,592.87",110.11,27.36849341,902,Y
ST-05,Eastgate Center,North,"May 6, 2026",58,3810.92,62.13,39.73862761,474,yes
ST-15,Pinecrest Mall,West,22-Apr-26,48,4439.86,98.12,33.52232175,661,1
ST-10,magnolia square,south,2026-04-24,61,6679.83,115,22.9240069,536,FALSE
ST-03,Maple Junction,North,03/05/2026,63,7608.29,117.72,17.84126877,722,Y
ST-17,Summit Corner,west,24/03/2026,73,7775.82,98.82,21.87019708,655,0
ST-07,Sunset Boulevard,South,"March 5, 2026",57,"INR 9,570",180.9,18.49735651,332,Y
ST-05,Eastgate Center,North,2026-04-18,57,4610.53,84.49,15.22651711,612,1
ST-11,Willow Creek,South,8-May-26,65,3466.81,53.18,2.964522653,463,yes
ST-03,Maple Junction,North,07/05/2026,55,7247.56,142.51,3.819336478,583,N
ST-14,Golden Valley,West,03/01/2026,36,"INR 6,184",157.91,32.00284029,912,TRUE
ST-04,Silverline Mall,North,06/03/2026,76,"INR 5,580",68.47,14.56778838,867,N
ST-14,Golden Valley,west,03/04/2026,-53,5952.86,6355.88,36.21174339,443,N
ST-05,Eastgate Center,North,9-May-26,62,9013.73,140.07,18.35376746,569,N
ST-07,Sunset Boulevard,South,7-May-26,61,6061.81,100.51,7.000679016,446,N
ST-06,Cedar Crossing,North,20260304,44,"$3,427.91",82.13,15.31755942,547,Y
ST-17,Summit Corner,WEST,20260403,56,"INR 3,109",58.04,33.82116137,792,0
ST-05,EASTGATE CENTER,NORTH,"April 30, 2026",52,3723.32,75.7,28.20649709,652,N
ST-18,ashbrook plaza,West,05/28/2026,72,2143.4,31.9,24.98984372,731,0
ST-09,Coral Bay Outlet,South,20260422,56,"INR 6,002",100.9,14.83234407,559,N
ST-08,Palm Terrace,South,05/21/2026,78,3182.85,42.46,29.603653,614,N
ST-05,Eastgate Center,North,03/02/2026,81,3916.8,44.57,27.51307318,596,0
ST-15,Pinecrest Mall,West,27-May-26,38,"$2,741.92",65.94,23.90306631,491,N
ST-07,Sunset Boulevard,south,2-May-26,47,16688.9,345.82,5.600147559,555,N
ST-02,Harbor Point,North,20260512,59,8455.02,152.47,1.285975804,688,N
ST-14,Golden Valley,West,12/03/2026,76,"$6,155.70",87.89,8.620033977,811,N
ST-09,Coral Bay Outlet,South,27/04/2026,57,6102.68,103.85,9.692708757,549,no
ST-03,Maple Junction,North,"March 6, 2026",53,9248.93,161.03,26.37256784,514,N
ST-14,Golden Valley,WEST,"April 5, 2026",63,4579.06,71.45,25.50224826,365,no
ST-11,Willow Creek,South,20260523,57,"INR 3,935",64.9,24.39644149,574,N
ST-18,Ashbrook Plaza,west,20260416,61,3296.04,58.7,37.6320496,191,0
ST-16,Redwood Station,WEST,07/04/2026,30,3951.33,125.94,38.68396691,711,N
ST-05,Eastgate Center,NORTH,8-Apr-26,62,,69.54,5.015389563,647,no
ST-05,Eastgate Center,North,03/22/2026,58,6708.92,123.69,23.16175815,484,1
ST-03,MAPLE JUNCTION,North,20260429,53,6673.11,126.46,7.879193013,608,N
ST-13,Highland Court,West,24-Mar-26,40,6411.49,155.49,0.2632548928,539,N
ST-01,Riverside Plaza,north,04/19/2026,73,,87.05,10.92748766,658,no
ST-13,Highland Court,West,"April 22, 2026",46,6660.12,135.53,14.13673471,474,N
ST-07,Sunset Boulevard,South,03/04/2026,57,11246.34,193.04,28.44441505,663,N
ST-06,Cedar Crossing,North,19-May-26,66,5278.76,81.84,26.37057228,784,N
ST-15,Pinecrest Mall,West,"April 5, 2026",84,3949.35,48.81,31.40565437,609,yes
ST-05,Eastgate Center,North,20260323,30,5929.26,212.69,18.0713521,401,N
ST-12,bayfront commons,South,04/15/2026,69,"$13,496.74",188.82,38.81226389,557,N
ST-06,Cedar Crossing,NORTH,04/06/2026,70,"$6,308.85",98.86,250,828,FALSE
ST-14,Golden Valley,WEST,04/28/2026,74,4055.88,59.8,1.228672841,664,N
ST-04,Silverline Mall,North,2-May-26,80,"INR 3,472",39.93,21.48748617,412,N
ST-03,Maple Junction,NORTH,20260504,29,"$8,713.82",320.2,33.9862881,479,FALSE
ST-15,PINECREST MALL,West,21-Apr-26,64,"INR 4,143",70.96,22.86706612,740,N
ST-05,Eastgate Center,north,15/03/2026,89,4873.12,53.61,11.59626513,674,N
ST-07,Sunset Boulevard,South,"May 20, 2026",35,"INR 3,807",117.28,35.66868256,602,no
ST-11,Willow Creek,SOUTH,04/08/2026,69,3545.98,48.45,27.76967895,402,N
ST-14,golden valley,west,05/01/2026,54,4980.11,89.96,0.9052114417,679,N
ST-16,Redwood Station,west,20260502,42,4506.92,102.43,39.25642169,659,N
ST-17,Summit Corner,West,21/04/2026,73,4352.96,54.14,9.988218929,718,N
ST-09,Coral Bay Outlet,SOUTH,2026-05-05,85,7087.99,77.19,0.1802439024,376,FALSE
ST-01,Riverside Plaza,North,13-May-26,65,3312.7,46.54,0.04269860091,691,no
ST-02,HARBOR POINT,North,20-Mar-26,102,4501.98,43.89,19.96776902,631,0
ST-08,Palm Terrace,South,12/04/2026,58,9965.37,155.85,36.23453422,733,yes
ST-05,Eastgate Center,North,07/05/2026,51,"$9,365.37",193.52,27.04602103,386,Y
ST-03,Maple Junction,NORTH,19-May-26,30,"$14,250.38",439.45,22.1405674,645,yes
ST-16,Redwood Station,West,2026-04-06,39,5322.13,145.31,28.90793317,428,0
ST-08,Palm Terrace,South,20260314,43,2375.07,58.07,37.95450219,753,N
ST-08,Palm Terrace,SOUTH,20260503,54,2774.78,55.35,-15,555,N
ST-03,Maple Junction,North,30/04/2026,38,"INR 3,610",104.32,39.85060252,699,N
ST-01,Riverside Plaza,North,20260421,53,6227.55,110.44,34.35931442,320,no
ST-01,riverside plaza,North,05/16/2026,51,"$6,981.39",136.85,19.74688305,481,N
ST-06,Cedar Crossing,north,04/13/2026,54,3874.84,73.54,32.06699215,663,TRUE
ST-14,Golden Valley,west,20260324,28,"INR 3,646",121.23,27.08129813,1033,0
ST-15,Pinecrest Mall,WEST,03/03/2026,53,"$1,835.43",31.6,10.77205648,803,no
ST-08,Palm Terrace,South,11/05/2026,56,"$3,511.50",67.87,38.83442248,269,0
ST-16,Redwood Station,WEST,"March 27, 2026",59,7748.4,137.82,26.79550613,371,N
ST-07,SUNSET BOULEVARD,South,2026-05-29,59,21721.54,398.56,36.71866527,465,0
ST-02,Harbor Point,North,2026-04-03,58,"$13,008.95",226.4,na,433,no
ST-04,Silverline Mall,North,23/05/2026,56,3090.5,55.34,22.17799528,629,yes
ST-08,Palm Terrace,South,17-May-26,60,"$2,114.33",37.51,32.35364565,530,FALSE
ST-08,Palm Terrace,South,2026-04-04,68,4531.13,72.83,30.70563421,696,N
ST-05,Eastgate Center,North,"April 25, 2026",82,3078.4,34.72,37.05133284,737,1
ST-11,Willow Creek,South,07/04/2026,26,"$10,294.17",397.92,250,602,FALSE
ST-06,cedar crossing,North,04/05/2026,75,"$3,264.69",45.35,35.27810087,591,TRUE
ST-13,Highland Court,west,"May 29, 2026",66,7105.2,110.38,34.62862634,613,N
ST-11,WILLOW CREEK,South,10/03/2026,96,"$12,054.82",128.9,15.61615398,661,N
ST-18,ASHBROOK PLAZA,West,20260314,50,"$1,436.07",30.82,25.98910644,882,0
ST-13,Highland Court,west,30/04/2026,73,"INR 5,638",81.11,14.65630424,593,yes
ST-18,ashbrook plaza,West,19/04/2026,47,2176.53,43.68,16.9236637,488,Y
ST-01,Riverside Plaza,North,07/05/2026,81,5274.13,70.12,26.53813029,558,0
ST-05,EASTGATE CENTER,North,2026-05-13,53,"$4,289.48",85.72,38.23937077,509,N
ST-15,Pinecrest Mall,west,05/28/2026,74,4198.41,59.24,38.11236563,501,no
ST-02,Harbor Point,North,21-Apr-26,78,8827.29,120.76,3.557149722,185,1
ST-13,Highland Court,West,"March 8, 2026",55,,78.24,7.427052241,745,yes
ST-16,Redwood Station,west,20260508,62,4699.01,82.73,11.69929576,728,N
ST-10,Magnolia Square,South,20260405,45,2375.81,50.73,33.81143659,752,no
ST-06,Cedar Crossing,north,"April 15, 2026",82,6699.02,86.33,13.11855342,679,N
ST-13,highland court,West,20260326,66,"INR 5,309",79.63,250,660,N
ST-13,highland court,West,2026-03-06,51,3121.29,61.72,35.59031378,902,TRUE
ST-07,sunset boulevard,south,2026-03-12,55,11180.22,187.54,13.8232781,838,TRUE
ST-08,Palm Terrace,South,04/05/2026,47,6436.56,134.34,2.198415526,783,Y
ST-15,Pinecrest Mall,West,04/02/2026,40,"INR 3,974",101.46,19.90430433,718,0
ST-07,Sunset Boulevard,South,9-Mar-26,83,14963.88,197.24,12.56773824,706,yes
ST-13,Highland Court,West,22/03/2026,36,2805,77.32,17.98398737,211,N
ST-15,Pinecrest Mall,WEST,28/04/2026,76,2309.9,32.38,13.88515638,552,no
ST-06,CEDAR CROSSING,NORTH,08/05/2026,67,3615.67,55.72,16.75736662,694,N
ST-12,bayfront commons,SOUTH,1-Mar-26,51,4136.42,80.85,15.15495546,725,N
ST-16,Redwood Station,West,21/04/2026,80,12336.35,163.76,27.24547509,434,1
ST-05,Eastgate Center,North,2026-04-26,86,2794.1,33.16,26.66419069,678,0
ST-13,Highland Court,West,05/04/2026,62,5373.29,85.15,35.54240114,719,Y
ST-06,Cedar Crossing,north,15/03/2026,57,2939.25,50.89,31.17366604,663,1
ST-12,Bayfront Commons,South,23/05/2026,60,10690.02,182.49,9.442684848,839,N
ST-08,Palm Terrace,SOUTH,21/03/2026,81,3464.98,46.52,32.65159081,449,N
ST-14,Golden Valley,WEST,04/01/2026,59,8635.43,142.06,15.40041108,524,Y
ST-18,Ashbrook Plaza,West,2026-05-19,84,,26.14,32.17200863,792,no
ST-14,Golden Valley,west,04/29/2026,87,4740.82,59.02,23.34518187,617,N
ST-17,Summit Corner,West,6-Mar-26,54,5028.06,99.26,22.24833771,650,N
ST-09,CORAL BAY OUTLET,South,2026-04-04,50,3331.28,61.34,8.104883947,460,0
ST-12,BAYFRONT COMMONS,South,06/04/2026,48,4308.83,83.43,5.80896015,592,Y
ST-17,Summit Corner,West,19-May-26,47,"$3,991.49",86.69,24.49724075,502,N
ST-11,Willow Creek,SOUTH,22-May-26,58,9778.61,181.24,30.37919399,636,yes
ST-07,Sunset Boulevard,South,11-May-26,58,6613.42,105.76,-15,666,N
ST-06,Cedar Crossing,North,1-Apr-26,53,3019.63,52.35,34.55854786,393,N
ST-10,Magnolia Square,south,05/04/2026,57,6158.62,99.16,24.77666287,676,FALSE
ST-15,Pinecrest Mall,West,"April 8, 2026",83,2791.68,34.99,38.78361977,650,N
ST-04,Silverline Mall,North,05/21/2026,54,"$2,710.38",48.85,6.336548538,559,0
ST-09,Coral Bay Outlet,south,01/03/2026,55,"$5,939.45",106.76,3.313283719,592,N
ST-12,bayfront commons,South,03/17/2026,74,"INR 6,607",86.37,18.62154264,447,N
ST-09,Coral Bay Outlet,South,04/02/2026,79,5104.41,66.6,7.209097425,599,N
ST-13,Highland Court,West,"March 9, 2026",76,"$4,038.35",55.42,38.32204157,720,N
ST-13,Highland Court,West,2026-04-11,50,,75.14,0.3796596764,719,no
ST-18,Ashbrook Plaza,West,7-May-26,53,1413.74,25.94,15.87455099,832,FALSE
ST-02,Harbor Point,NORTH,"May 20, 2026",35,"$7,387.76",221.06,8.878161582,686,0
ST-13,Highland Court,West,20260327,70,4161.76,59.72,1.367520534,735,N
ST-17,Summit Corner,West,1-Apr-26,80,13412.55,182.64,15.80043891,805,N
ST-04,Silverline Mall,North,28-Mar-26,59,3106.09,49,14.55187929,393,Y
ST-01,Riverside Plaza,North,14-Apr-26,76,,53.65,8.280821661,597,N
ST-11,Willow Creek,South,05/16/2026,66,,47.41,250,327,1
ST-04,Silverline Mall,North,"March 1, 2026",89,4579.41,51.8,20.99688383,627,N
ST-04,Silverline Mall,North,31-Mar-26,52,2168.63,40.1,13.31221488,923,Y
ST-07,sunset boulevard,SOUTH,5-Apr-26,92,9160.94,95.1,26.97885741,730,N
ST-12,Bayfront Commons,SOUTH,04/21/2026,71,11434.49,150.55,22.45434875,606,N
ST-13,Highland Court,West,20260312,48,"$4,257.30",92.1,12.72665717,615,N
ST-18,Ashbrook Plaza,West,03/28/2026,72,"INR 3,829",49.04,11.53906457,640,1
ST-05,Eastgate Center,North,"April 21, 2026",80,"INR 3,215",42.16,19.75684425,560,N
ST-04,Silverline Mall,NORTH,"May 12, 2026",46,4668.65,109.69,6.596616344,857,N
ST-12,Bayfront Commons,South,05/03/2026,48,9719.69,206.81,37.0869557,520,yes
ST-02,Harbor Point,north,26-Mar-26,62,6872.42,104.26,26.39944977,325,N
ST-11,Willow Creek,SOUTH,11-Apr-26,81,4594.66,57,5.358712416,711,N
ST-17,Summit Corner,West,6-Apr-26,58,7324.3,138.44,15.12431458,487,N
ST-03,Maple Junction,north,10/04/2026,42,"$8,462.76",187.73,16.68211534,650,no
ST-16,Redwood Station,West,20260409,49,8451.73,184.8,30.93909012,565,Y
ST-16,REDWOOD STATION,West,"May 23, 2026",64,3598.93,50.63,13.92978581,680,N
ST-15,PINECREST MALL,West,03/12/2026,42,"$4,877.03",109.06,6.79439458,742,N
ST-02,Harbor Point,NORTH,2026-05-25,68,3824.65,56.62,26.94054859,805,Y
ST-17,Summit Corner,West,2026-05-29,44,5894.77,134.34,2.922390853,321,no
ST-06,cedar crossing,north,20260517,56,9339.5,177.75,5.491753475,554,N
ST-06,Cedar Crossing,NORTH,25/05/2026,82,"$4,293.28",47.62,23.94042539,809,yes
ST-04,silverline mall,North,"May 1, 2026",88,4048.84,49.33,10.02036144,590,N
ST-01,Riverside Plaza,North,"May 18, 2026",86,8747.99,103,30.2215817,697,0
ST-06,Cedar Crossing,north,2026-04-14,53,2521.92,45.68,14.82486481,416,N
ST-18,Ashbrook Plaza,West,20260428,79,,48.44,23.22988596,658,N
ST-14,golden valley,West,"March 28, 2026",41,9336.27,240.65,9.604860511,625,N
ST-03,maple junction,North,"April 2, 2026",61,13195.16,216.57,17.29301183,746,Y
ST-16,Redwood Station,WEST,18/04/2026,46,3518.67,75.09,24.46772355,490,N
ST-10,Magnolia Square,South,"April 2, 2026",52,"$2,704.08",57.18,na,767,N
ST-09,Coral Bay Outlet,South,26-May-26,48,14560.43,286.45,0.9723782884,511,N
ST-03,Maple Junction,North,19-Mar-26,75,"$3,879.57",51.59,38.65187549,638,TRUE
ST-01,Riverside Plaza,NORTH,03/16/2026,76,3376.17,42.08,29.84057121,544,N
ST-08,Palm Terrace,SOUTH,25/03/2026,69,2420.48,36,27.45370446,583,N
ST-11,Willow Creek,South,26-May-26,56,"$6,701.61",123.08,35.6511888,647,N
ST-13,Highland Court,West,01/03/2026,62,,53.42,19.77068255,572,1
ST-14,Golden Valley,West,7-Mar-26,73,6667.62,96.9,30.91300818,573,N
ST-16,Redwood Station,WEST,11-Apr-26,53,3254.44,65.75,33.61176258,644,0
ST-11,Willow Creek,South,2026-04-09,96,5153.49,55.71,26.6623237,647,0
ST-15,PINECREST MALL,West,13-Apr-26,60,1955.48,30.14,29.65550035,640,0
ST-05,eastgate center,North,2026-03-08,18,1915.25,98.24,24.6504814,507,1
ST-14,Golden Valley,West,"May 29, 2026",59,,89.89,9.434374782,344,0
ST-10,Magnolia Square,south,01/03/2026,60,5821.53,97.7,8.160066663,410,N
ST-11,Willow Creek,South,20260504,57,4396.7,80.44,14.10151608,635,N
ST-17,Summit Corner,west,"April 26, 2026",79,"$3,979.18",46.77,32.51603099,621,no
ST-04,silverline mall,North,2026-03-05,43,3679.53,89.78,30.79000669,970,N
ST-03,Maple Junction,NORTH,20/03/2026,38,"INR 11,211",320.82,21.84216267,427,N
ST-14,Golden Valley,West,"May 14, 2026",62,"$3,761.63",66.03,25.53955297,748,Y
ST-10,Magnolia Square,South,20260503,62,4602.3,74.05,35.72163154,725,0
ST-05,Eastgate Center,North,20260312,44,3279.98,73.82,250,469,0
ST-18,Ashbrook Plaza,west,2026-05-03,55,,39.35,27.29875314,696,N
ST-15,Pinecrest Mall,West,03/20/2026,77,2787.66,35.26,19.93398364,420,N
ST-17,summit corner,West,13/04/2026,66,"INR 16,395",255.4,7.845547172,249,0
ST-18,Ashbrook Plaza,west,"May 4, 2026",52,"INR 2,492",44.86,39.80860938,605,Y
ST-01,riverside plaza,North,26-Apr-26,49,6942.74,149.06,30.89411951,566,N
ST-13,Highland Court,West,05/20/2026,65,4347.2,72.62,9.099040595,671,Y
ST-01,RIVERSIDE PLAZA,North,13-Apr-26,53,"$7,813.50",160.85,20.50928257,475,Y
ST-02,Harbor Point,North,03/11/2026,60,8649.73,154.21,9.106445872,475,yes
ST-12,Bayfront Commons,SOUTH,2026-03-20,55,5260.11,96.13,18.46787543,729,Y
ST-02,Harbor Point,North,2026-03-12,60,2631.7,40.51,9.533541174,573,yes
ST-08,PALM TERRACE,South,22/03/2026,40,"INR 4,238",101.57,9.163170751,514,yes
ST-02,Harbor Point,North,03/18/2026,39,"$3,633.45",88.44,33.68280607,513,yes
ST-13,highland court,west,10-Mar-26,69,5593.69,87.31,16.79497567,446,N
ST-10,Magnolia Square,South,"April 17, 2026",73,3796.11,51.44,na,476,Y
ST-07,Sunset Boulevard,South,29/04/2026,56,,112.21,12.34718439,586,1
ST-06,Cedar Crossing,North,05/03/2026,47,5661.06,117.21,38.70544293,701,0
ST-04,silverline mall,North,9-May-26,49,"INR 1,704",36.4,30.7492013,484,N
ST-07,Sunset Boulevard,South,14-May-26,71,3362.98,43.75,-15,558,Y
ST-10,Magnolia Square,South,4-Mar-26,55,2963.2,50.99,5.098418007,548,no
ST-11,Willow Creek,South,"April 12, 2026",-35,6997.08,7395.46,24.17925476,882,N
ST-02,Harbor Point,North,2026-04-08,60,3626.3,56.84,30.2659771,529,N
ST-13,Highland Court,WEST,2026-05-06,48,2972.71,58.19,0.5306166069,499,no
ST-05,eastgate center,North,2026-04-04,62,"INR 5,111",88.14,1.421196721,911,N
ST-09,Coral Bay Outlet,SOUTH,20260513,66,8917.05,138.59,7.369712402,897,N
ST-04,Silverline Mall,north,20-May-26,58,3454.68,63.5,2.502071451,523,yes
ST-15,Pinecrest Mall,west,03/17/2026,63,"$2,404.74",40.15,34.12886287,774,N
ST-06,Cedar Crossing,NORTH,12/05/2026,65,5239.87,73.63,13.98391648,684,yes
ST-04,silverline mall,north,2026-03-29,50,3011.44,63.14,9.516395467,489,N
ST-17,Summit Corner,west,20260520,86,4798.78,56.43,21.59493279,385,0
ST-05,Eastgate Center,North,05/05/2026,60,2223.61,36.37,6.821469045,594,no
ST-07,Sunset Boulevard,South,13-Mar-26,77,"$10,641.51",135.36,24.48769759,572,0
ST-10,Magnolia Square,South,23-May-26,56,7172.23,138.18,15.88113685,488,Y
ST-08,Palm Terrace,South,05/14/2026,51,"$2,169.97",39.99,10.74712287,829,N
ST-07,sunset boulevard,South,2026-03-22,56,"$6,020.16",100.44,37.64930227,677,yes
ST-08,Palm Terrace,South,"March 5, 2026",52,"INR 3,662",76.14,29.97721561,470,FALSE
ST-15,Pinecrest Mall,West,"May 26, 2026",65,5487.39,78.54,21.96181279,505,0
ST-09,Coral Bay Outlet,south,05/03/2026,51,"$9,366.06",175.45,17.98173464,326,TRUE
ST-15,Pinecrest Mall,West,2026-03-30,59,4554.24,77.28,0.6894587904,564,N
ST-04,Silverline Mall,North,24-Apr-26,58,7721.91,138.37,31.33653943,678,N
ST-03,Maple Junction,North,20260416,36,3814.45,101.26,37.11391607,896,N
ST-03,Maple Junction,north,21-Apr-26,49,5119.84,108.3,25.70901259,570,yes
ST-16,redwood station,WEST,22-Apr-26,74,"$5,202.26",75.4,29.78378618,689,0
ST-16,Redwood Station,West,8-Apr-26,81,14537.77,194.07,7.91830459,591,FALSE
ST-10,Magnolia Square,south,"March 3, 2026",68,4458.24,63.56,5.952908089,643,no
ST-02,Harbor Point,North,20260513,52,13800.45,284.53,na,457,1
ST-18,Ashbrook Plaza,west,20260410,39,3886.56,96.57,32.46860397,720,Y
ST-06,Cedar Crossing,North,2026-05-28,37,"INR 5,997",172.11,38.33998212,699,N
ST-03,Maple Junction,North,26/05/2026,-63,"$5,576.82",5703.52,9.137458869,617,N
ST-02,Harbor Point,North,"April 28, 2026",47,"$5,425.01",119.56,3.616323139,766,0
ST-13,Highland Court,West,"May 15, 2026",67,3599.21,55.84,5.80480528,755,N
ST-09,Coral Bay Outlet,south,25/03/2026,55,"INR 4,259",76.85,24.7804507,921,TRUE
ST-16,Redwood Station,west,20260513,45,3981.2,95.33,0.5207401261,617,yes
